id,skill_level,speed_std,acc_std,jerk_mean,lane_deviation_mean,follow_dist_mean,harsh_freq,lane_change_freq,critical_ttc_count,critical_thw_count
12,Expert,3.85,0.408,0.252,0.113,91.227,0.0,0.0,0,29
15,Expert,1.181,0.106,0.216,0.189,55.721,0.0,0.0,0,242
16,Expert,0.65,0.07,0.339,0.144,99.06,0.0,0.0,0,0
18,Expert,2.688,0.181,0.339,0.315,67.238,0.0,0.0,0,0
19,Expert,0.753,0.125,0.397,0.22,65.66,0.0,0.0,0,0
20,Expert,0.657,0.143,0.372,0.311,71.394,0.0,0.0,0,0
21,Expert,2.894,0.207,0.393,0.163,23.141,0.0,0.0,0,288
23,Expert,1.075,0.143,0.711,0.449,0.0,0.0,0.077,0,0
25,Expert,3.979,0.234,0.165,0.122,0.0,0.0,0.0,0,0
26,Expert,1.193,0.032,0.229,0.054,84.239,0.0,0.0,0,0
27,Expert,1.392,0.135,0.312,0.483,26.822,0.0,0.0,0,385
28,Expert,2.129,0.167,0.332,0.378,46.594,0.0,0.0,0,196
29,Expert,0.396,0.105,0.334,0.235,47.232,0.0,0.0,0,258
30,Expert,1.138,0.15,0.516,0.516,45.702,0.0,0.077,0,224
31,Expert,0.612,0.222,0.549,0.696,110.887,0.0,0.096,0,0
32,Expert,3.679,0.163,0.254,0.525,82.888,0.0,0.0,0,0
34,Expert,2.268,0.239,0.416,0.221,111.409,0.0,0.0,0,0
36,Expert,1.281,0.127,0.274,0.241,82.44,0.0,0.0,0,0
37,Expert,1.091,0.084,0.118,0.118,34.041,0.0,0.0,0,252
40,Expert,2.023,0.12,0.304,0.91,89.374,0.0,0.0,0,0
41,Expert,2.921,0.223,0.214,0.605,31.624,0.0,0.0,0,273
42,Expert,2.788,0.243,0.27,0.28,24.341,0.0,0.0,0,266
43,Expert,1.258,0.096,0.247,0.199,37.136,0.0,0.0,0,260
44,Expert,1.62,0.2,0.364,0.186,30.019,0.0,0.0,0,263
46,Expert,2.451,0.368,0.251,0.102,24.993,0.0,0.0,0,268
47,Expert,1.237,0.053,0.159,0.22,0.0,0.0,0.0,0,0
48,Expert,3.335,0.272,0.461,0.453,34.757,0.0,0.082,0,185
49,Expert,3.903,0.138,0.12,0.195,24.356,0.0,0.0,0,175
51,Expert,2.614,0.184,0.366,0.108,30.596,0.0,0.0,0,264
53,Expert,1.931,0.173,0.246,0.229,32.096,0.0,0.0,0,225
54,Expert,4.529,0.071,0.244,0.119,27.427,0.0,0.0,0,264
55,Expert,5.265,0.06,0.251,0.257,75.571,0.0,0.0,0,0
56,Expert,0.674,0.067,0.453,0.15,78.925,0.0,0.0,0,0
57,Expert,1.977,0.022,0.132,0.052,49.706,0.0,0.0,0,230
58,Expert,2.971,0.316,0.668,0.823,60.602,0.0,0.086,11,71
59,Expert,1.547,0.105,0.261,0.23,82.448,0.0,0.0,0,0
60,Expert,0.806,0.091,0.3,0.532,71.756,0.0,0.078,0,59
61,Expert,0.751,0.143,0.539,0.451,107.536,0.0,0.0,0,84
63,Expert,2.251,0.255,0.349,0.184,34.597,0.0,0.0,0,237
64,Expert,0.469,0.105,0.345,0.478,32.068,0.0,0.0,0,376
65,Expert,1.274,0.118,0.293,0.257,70.316,0.0,0.0,0,0
66,Expert,0.847,0.08,0.308,0.524,35.008,0.0,0.0,0,374
67,Expert,0.63,0.048,0.175,0.725,32.402,0.0,0.0,0,308
68,Expert,0.685,0.148,0.342,0.132,17.139,0.0,0.0,0,327
69,Expert,1.005,0.216,0.298,0.29,17.113,0.0,0.0,0,330
70,Expert,2.118,0.23,0.444,0.233,14.734,0.0,0.0,0,337
71,Expert,0.729,0.068,0.154,0.311,71.347,0.0,0.0,0,0
73,Expert,1.386,0.119,0.336,0.23,19.811,0.0,0.0,0,392
74,Expert,4.784,0.405,0.448,0.279,20.369,0.0,0.0,0,325
75,Expert,2.506,0.166,0.312,0.091,18.664,0.0,0.0,0,392
76,Expert,5.216,0.401,0.588,0.118,24.358,0.0,0.0,0,312
78,Expert,0.291,0.111,0.753,0.874,74.534,0.0,0.0,0,0
79,Expert,9.705,0.371,0.55,0.451,26.707,0.0,0.073,0,320
80,Expert,11.898,0.756,1.061,0.232,55.78,2.839,0.0,0,133
81,Expert,0.783,0.065,0.331,0.306,45.681,0.0,0.0,0,209
83,Expert,0.962,0.174,0.209,0.143,83.111,0.0,0.0,0,0
84,Expert,8.689,0.453,0.442,0.518,97.084,0.0,0.0,0,0
86,Expert,3.869,0.106,0.267,0.07,53.503,0.0,0.0,0,98
88,Expert,8.934,0.289,0.368,0.227,53.057,0.0,0.0,0,230
89,Expert,1.453,0.061,0.079,0.217,109.865,0.0,0.0,0,0
90,Expert,6.815,0.529,0.474,0.241,33.07,0.0,0.0,0,244
91,Expert,0.826,0.044,0.143,0.243,67.388,0.0,0.0,0,0
92,Expert,0.516,0.116,0.317,0.328,52.309,0.0,0.0,0,47
93,Expert,4.008,0.383,0.312,0.495,93.126,0.0,0.091,0,0
94,Expert,0.888,0.038,0.17,0.17,51.225,0.0,0.0,0,216
95,Expert,5.222,0.09,0.14,0.161,70.18,0.0,0.0,0,32
96,Expert,1.018,0.212,0.651,0.709,68.979,0.0,0.091,0,61
97,Expert,1.31,0.214,0.635,0.544,75.37,0.0,0.091,0,69
99,Expert,1.129,0.066,0.238,0.518,45.225,0.0,0.085,0,207
100,Expert,6.295,0.194,0.268,0.227,25.124,0.0,0.0,0,144
101,Expert,4.477,0.203,0.265,0.164,22.593,0.0,0.0,0,260
102,Expert,0.635,0.148,0.212,0.204,27.435,0.0,0.0,0,256
105,Expert,1.001,0.17,0.425,0.415,20.056,0.0,0.0,0,383
106,Expert,2.282,0.043,0.239,0.318,40.432,0.0,0.0,0,248
107,Expert,0.208,0.115,0.834,0.502,81.083,0.0,0.0,0,0
108,Expert,1.295,0.046,0.247,0.629,46.89,0.0,0.0,0,233
109,Expert,0.236,0.099,0.281,0.32,94.904,0.0,0.0,0,0
111,Expert,0.874,0.199,0.4,0.431,69.885,0.0,0.081,0,0
113,Expert,6.585,0.476,0.376,0.104,78.242,0.0,0.0,0,37
114,Expert,7.577,0.2,0.257,0.188,34.599,0.0,0.0,0,238
115,Expert,1.662,0.062,0.645,0.628,28.952,0.0,0.083,0,257
116,Expert,0.776,0.099,0.225,0.669,26.963,0.0,0.091,0,0
117,Expert,1.353,0.173,0.33,0.287,106.678,0.0,0.0,0,23
118,Expert,2.485,0.147,0.352,0.757,72.134,0.0,0.088,0,0
119,Expert,0.169,0.11,0.283,0.67,24.417,0.0,0.075,0,176
120,Expert,0.351,0.065,0.341,0.104,101.856,0.0,0.0,0,0
122,Expert,3.076,0.081,0.31,0.616,56.987,0.0,0.0,0,0
124,Expert,1.399,0.142,0.297,0.972,74.766,0.0,0.0,0,0
125,Expert,0.903,0.138,0.337,0.304,65.64,0.0,0.0,0,109
128,Expert,0.362,0.128,0.272,0.553,81.752,0.0,0.0,0,0
129,Expert,1.329,0.046,0.193,0.674,45.848,0.0,0.0,0,124
130,Expert,1.621,0.248,0.323,0.107,67.649,0.0,0.0,0,0
131,Expert,4.132,0.131,0.251,0.251,43.602,0.0,0.0,0,223
134,Expert,0.952,0.026,0.199,0.132,45.318,0.0,0.0,0,219
135,Expert,1.121,0.037,0.192,0.212,63.279,0.0,0.0,0,58
136,Expert,1.513,0.044,0.247,0.172,50.6,0.0,0.0,0,217
137,Expert,1.131,0.045,0.241,0.636,50.522,0.0,0.09,0,174
138,Expert,0.583,0.075,0.199,0.066,101.569,0.0,0.0,0,35
139,Expert,0.959,0.103,0.267,1.047,84.073,0.0,0.189,0,21
140,Expert,1.257,0.034,0.207,0.404,101.878,0.0,0.0,0,0
141,Expert,2.925,0.262,0.291,0.513,79.32,0.0,0.0,0,118
142,Expert,0.777,0.134,0.415,0.969,60.217,0.0,0.086,0,0
143,Expert,1.894,0.287,0.981,0.407,0.0,0.0,0.081,0,0
145,Expert,8.423,0.556,0.235,0.259,16.923,0.0,0.0,0,165
146,Expert,3.405,0.159,0.522,0.141,26.891,0.0,0.0,0,333
147,Expert,1.138,0.141,0.268,0.661,23.728,0.0,0.09,0,158
148,Expert,6.948,0.567,0.247,0.277,23.7,0.0,0.0,0,262
149,Expert,4.9,0.061,0.255,0.302,6.275,0.0,0.0,0,97
150,Expert,3.509,0.17,0.322,0.279,30.203,0.0,0.0,0,327
151,Expert,6.87,0.261,0.359,0.182,34.873,0.0,0.0,0,231
152,Expert,2.561,0.431,0.471,0.104,38.632,0.0,0.0,0,245
153,Expert,0.201,0.198,0.851,0.516,28.584,0.0,0.079,0,272
154,Expert,1.64,0.092,0.346,0.372,61.96,0.0,0.0,0,0
155,Expert,2.61,0.116,0.171,0.227,68.584,0.0,0.0,0,0
156,Expert,1.715,0.154,0.393,0.051,27.484,0.0,0.0,0,274
157,Expert,1.106,0.244,0.314,0.218,17.288,0.0,0.0,0,280
158,Expert,4.712,0.275,0.468,0.535,22.466,0.0,0.08,0,281
159,Expert,0.825,0.142,0.384,0.237,91.096,0.0,0.0,0,20
160,Expert,0.359,0.132,0.398,0.515,95.762,0.0,0.08,0,0
161,Expert,1.104,0.066,0.346,0.525,110.299,0.0,0.083,0,0
162,Expert,7.174,0.034,0.108,0.349,71.34,0.0,0.0,0,9
163,Expert,6.155,0.025,0.09,0.262,26.315,0.0,0.0,0,251
165,Expert,2.168,0.204,0.281,0.498,38.144,0.0,0.084,0,250
166,Expert,0.839,0.072,0.455,0.278,35.144,0.0,0.0,0,101
167,Expert,7.458,0.063,0.261,0.643,0.0,0.0,0.097,0,0
168,Expert,2.174,0.277,0.38,0.443,79.32,0.0,0.089,0,18
169,Expert,4.123,0.086,0.266,0.349,11.744,0.0,0.0,0,96
171,Expert,3.495,0.437,0.274,0.116,24.31,0.0,0.0,0,184
172,Expert,1.161,0.099,0.255,0.538,59.574,0.0,0.085,0,128
174,Expert,1.51,0.187,0.313,0.213,52.526,0.0,0.0,0,133
175,Expert,7.456,0.514,0.385,0.454,19.634,0.0,0.0,0,206
177,Expert,3.4,0.161,0.265,0.223,48.854,0.0,0.0,0,232
178,Expert,1.554,0.109,0.256,0.228,69.63,0.0,0.0,0,0
180,Expert,4.021,0.277,0.539,0.179,103.765,0.0,0.0,0,0
181,Expert,1.44,0.075,0.193,0.143,80.895,0.0,0.0,0,0
182,Expert,0.996,0.078,0.264,0.505,110.163,0.0,0.0,0,0
183,Expert,0.47,0.1,0.308,0.267,88.379,0.0,0.0,0,0
185,Expert,0.547,0.097,0.237,0.035,39.638,0.0,0.0,0,257
186,Expert,0.858,0.156,0.502,0.261,24.386,0.0,0.0,0,270
188,Expert,1.327,0.353,0.679,0.576,88.317,0.0,0.075,0,0
189,Expert,1.631,0.15,0.314,0.11,40.672,0.0,0.0,0,256
191,Expert,4.92,0.283,0.516,0.122,54.049,0.0,0.0,0,87
192,Expert,0.34,0.063,0.272,0.321,55.974,0.0,0.0,0,110
193,Expert,2.036,0.36,0.814,0.664,77.45,0.0,0.084,0,49
194,Expert,3.395,0.283,0.325,0.037,46.183,0.0,0.0,0,242
195,Expert,2.894,0.249,0.428,0.328,26.309,0.0,0.0,0,294
197,Expert,4.679,0.141,0.246,0.298,39.161,0.0,0.0,0,285
198,Expert,0.65,0.117,0.303,0.341,57.658,0.0,0.0,0,130
199,Expert,3.893,0.365,0.253,0.219,56.908,0.0,0.0,0,160
200,Expert,1.884,0.238,0.251,0.454,32.897,0.0,0.0,0,274
201,Expert,0.221,0.057,0.327,0.157,66.348,0.0,0.0,0,0
202,Expert,0.808,0.137,0.203,0.653,21.402,0.0,0.0,0,283
203,Expert,1.63,0.28,0.382,0.213,18.139,0.0,0.0,0,281
204,Expert,1.468,0.197,0.325,0.267,23.849,0.0,0.0,0,275
205,Expert,0.766,0.113,0.174,0.057,105.464,0.0,0.0,0,0
206,Expert,1.681,0.062,0.269,0.212,37.818,0.0,0.0,0,259
208,Expert,2.942,0.335,0.285,0.348,54.116,0.0,0.0,0,243
209,Expert,5.344,0.035,0.134,0.361,0.0,0.0,0.0,0,0
211,Expert,2.361,0.076,0.273,0.408,21.752,0.0,0.077,0,288
212,Expert,2.918,0.333,0.413,0.229,18.066,0.0,0.0,0,277
213,Expert,2.741,0.068,0.252,0.525,57.969,0.0,0.083,0,148
214,Expert,5.081,0.179,0.26,0.117,21.143,0.0,0.0,0,263
216,Expert,1.609,0.182,0.295,0.304,25.197,0.0,0.0,0,304
217,Expert,2.371,0.233,0.464,0.301,12.124,0.0,0.0,0,422
218,Expert,2.326,0.346,0.467,0.122,18.801,0.0,0.0,0,334
219,Expert,1.864,0.307,0.501,0.556,21.202,0.0,0.0,0,331
220,Expert,0.884,0.149,0.332,0.07,20.924,0.0,0.0,0,325
221,Expert,1.045,0.24,0.494,0.115,34.234,0.0,0.0,0,305
223,Expert,0.416,0.047,0.413,0.569,90.387,0.0,0.084,0,0
224,Expert,3.689,0.151,0.343,0.288,56.892,0.0,0.0,0,0
225,Expert,0.909,0.131,0.286,0.514,38.924,0.0,0.0,0,302
226,Expert,4.114,0.18,0.27,0.529,31.11,0.0,0.0,0,324
227,Expert,2.23,0.258,0.39,0.169,27.393,0.0,0.0,0,395
228,Expert,0.866,0.062,0.244,0.51,75.181,0.0,0.066,0,0
229,Expert,1.125,0.024,0.206,0.294,67.882,0.0,0.0,0,215
230,Expert,3.49,0.181,0.567,0.436,19.045,0.0,0.0,0,390
231,Expert,1.99,0.177,0.27,0.464,35.43,0.0,0.0,0,265
232,Expert,0.765,0.12,0.422,0.071,73.997,0.0,0.0,0,0
233,Expert,1.271,0.033,0.14,0.181,21.245,0.0,0.0,0,9
234,Expert,0.445,0.09,0.396,0.505,38.157,0.0,0.0,0,314
235,Expert,1.395,0.151,0.253,0.65,28.115,0.0,0.0,0,336
236,Expert,1.721,0.189,0.331,0.481,21.115,0.0,0.0,0,342
237,Expert,0.943,0.062,0.238,0.44,95.28,0.0,0.086,0,20
238,Expert,1.813,0.18,0.254,0.375,28.687,0.0,0.0,0,341
240,Expert,1.843,0.286,0.312,0.32,10.875,0.0,0.0,0,363
241,Expert,2.492,0.292,0.205,0.224,19.517,0.0,0.0,0,358
242,Expert,1.529,0.276,0.116,0.088,21.961,0.0,0.0,0,310
243,Expert,1.201,0.277,0.662,0.237,28.143,0.0,0.0,0,350
244,Expert,0.304,0.07,0.252,0.425,22.262,0.0,0.0,0,359
245,Expert,0.699,0.147,0.348,0.439,13.994,0.0,0.0,0,369
247,Expert,0.271,0.054,0.431,0.329,17.771,0.0,0.0,0,0
248,Expert,1.657,0.163,0.314,0.304,33.807,0.0,0.0,0,342
250,Expert,2.333,0.223,0.377,0.484,43.29,0.0,0.0,0,329
252,Expert,1.763,0.222,0.245,0.274,51.706,0.0,0.0,0,0
253,Expert,5.075,0.468,0.267,0.468,18.668,0.0,0.0,0,358
254,Expert,0.823,0.098,0.371,0.241,37.68,0.0,0.0,0,374
255,Expert,5.361,0.528,0.631,0.195,12.267,0.0,0.0,0,367
256,Expert,4.736,0.474,0.412,0.091,30.116,0.0,0.0,0,353
257,Expert,1.365,0.075,0.342,0.492,27.807,0.0,0.0,0,394
258,Expert,3.199,0.311,0.408,0.318,23.227,0.0,0.0,0,369
259,Expert,0.531,0.09,0.318,0.082,107.713,0.0,0.0,0,0
260,Expert,3.26,0.494,0.583,0.138,10.112,0.0,0.0,0,384
261,Expert,1.424,0.32,0.496,0.531,21.189,0.0,0.06,0,398
262,Expert,3.617,0.349,0.626,0.247,19.108,0.0,0.0,0,394
263,Expert,1.344,0.203,0.474,0.203,24.631,0.0,0.0,0,369
264,Expert,1.852,0.165,0.343,0.428,19.884,0.0,0.0,0,390
265,Expert,2.199,0.264,0.329,0.16,24.074,0.0,0.0,0,381
266,Expert,1.137,0.125,0.482,0.12,16.759,0.0,0.0,0,0
267,Expert,3.708,0.09,0.251,0.213,43.873,0.0,0.0,0,226
269,Expert,6.071,0.201,0.43,0.211,81.347,0.0,0.0,0,0
270,Expert,6.113,0.269,0.293,0.493,21.51,0.0,0.0,0,300
271,Expert,4.601,0.198,0.258,0.337,41.227,0.0,0.0,0,270
273,Expert,1.178,0.137,0.429,0.143,111.719,0.0,0.0,0,0
274,Expert,1.749,0.136,0.271,0.487,33.844,0.0,0.076,0,0
275,Expert,1.451,0.316,0.231,0.266,14.116,0.0,0.0,0,94
277,Expert,1.155,0.094,0.251,0.263,78.195,0.0,0.0,0,0
278,Expert,4.677,0.328,0.34,0.44,111.335,0.0,0.0,0,0
279,Expert,3.848,0.266,0.285,0.178,28.659,0.0,0.0,0,242
281,Expert,1.648,0.1,0.256,0.488,56.221,0.0,0.084,0,122
282,Expert,1.514,0.163,0.256,0.335,89.522,0.0,0.0,0,0
284,Expert,2.682,0.123,0.219,0.72,65.891,0.0,0.078,0,76
285,Expert,0.719,0.127,0.513,0.607,30.536,0.0,0.0,0,240
286,Expert,4.872,0.066,0.255,0.224,75.853,0.0,0.0,0,0
287,Expert,1.631,0.306,0.283,0.253,22.402,0.0,0.0,0,305
289,Expert,3.792,0.083,0.262,0.209,30.784,0.0,0.0,0,307
291,Expert,3.854,0.31,0.347,0.216,15.896,0.0,0.0,0,329
292,Expert,0.551,0.093,0.337,0.25,46.846,0.0,0.0,0,265
293,Expert,0.633,0.12,0.366,0.195,26.394,0.0,0.0,0,316
295,Expert,3.681,0.245,0.287,0.241,49.996,0.0,0.0,0,0
296,Expert,1.154,0.13,0.316,0.096,27.6,0.0,0.0,0,320
297,Expert,1.625,0.225,0.423,0.15,20.842,0.0,0.0,0,326
298,Expert,2.481,0.263,0.255,0.393,28.042,0.0,0.0,0,418
299,Expert,1.313,0.178,0.362,0.153,32.453,0.0,0.0,0,308
302,Expert,0.525,0.162,0.407,0.239,88.309,0.0,0.0,0,0
303,Expert,0.926,0.138,0.26,0.293,52.237,0.0,0.0,0,39
305,Expert,2.464,0.261,0.264,0.262,47.661,0.0,0.0,0,214
306,Expert,5.975,0.299,0.251,0.946,56.277,0.0,0.0,0,130
307,Expert,2.536,0.142,0.292,0.104,24.696,0.0,0.0,0,322
308,Expert,3.872,0.256,0.593,0.524,18.986,0.0,0.067,0,343
309,Expert,8.334,0.434,0.502,0.415,38.53,0.0,0.074,0,312
310,Expert,5.306,0.515,0.531,0.245,19.571,0.0,0.0,0,341
311,Expert,5.238,0.525,0.261,0.542,19.581,0.0,0.0,0,261
312,Expert,2.431,0.112,0.342,0.262,93.308,0.0,0.0,0,0
313,Expert,6.302,0.489,0.442,0.318,20.311,0.0,0.0,0,307
314,Expert,5.14,0.4,1.033,0.607,16.846,0.0,0.064,0,365
315,Expert,3.078,0.291,0.445,0.272,44.674,0.0,0.0,0,321
316,Expert,10.417,0.291,0.29,0.867,22.982,0.0,0.0,0,295
317,Expert,4.66,0.391,0.42,0.104,25.964,0.0,0.0,0,337
318,Expert,10.614,0.424,0.705,0.138,21.952,0.0,0.0,0,292
319,Expert,6.482,0.609,0.804,0.122,29.787,0.0,0.0,0,333
320,Expert,6.104,0.573,0.794,0.215,19.348,0.0,0.0,0,336
321,Expert,6.057,0.77,1.216,0.116,20.389,0.0,0.0,0,347
322,Expert,9.839,0.339,0.374,0.141,56.735,0.0,0.0,0,165
323,Expert,7.743,0.966,1.27,0.341,19.654,0.0,0.0,0,349
325,Expert,10.973,1.343,1.373,0.396,18.914,0.0,0.0,0,358
326,Expert,10.997,1.163,0.888,0.527,19.587,0.0,0.065,0,348
328,Expert,9.88,0.789,0.79,0.132,26.936,0.0,0.0,0,311
329,Expert,12.632,1.159,1.204,0.407,15.887,0.0,0.0,0,382
331,Expert,12.791,1.175,1.596,0.248,12.862,0.0,0.0,0,391
332,Expert,12.491,1.113,0.806,0.362,24.717,0.0,0.0,0,373
334,Expert,11.943,0.879,1.044,0.334,12.924,0.0,0.0,0,393
335,Expert,7.919,0.804,0.791,0.434,19.454,0.0,0.0,0,335
336,Expert,8.199,0.883,0.648,0.224,18.601,0.0,0.0,0,342
338,Expert,0.255,0.082,0.294,0.087,0.0,0.0,0.0,0,0
339,Expert,8.393,1.227,1.1,0.226,19.572,0.0,0.0,0,339
